Name;Address;Postcode;City;Email;Password;Phone_number;First_name;Last_name;creation_date;Site activity description
SPIE BATIGNOLLES OUTAREX;113 AV ARISTIDE BRIAND;94110;ARCUEIL;Patrick.Zulian@outarex.com;123456;611396385;Patrick;Zulian;01/01/1972;Travaux de maçonnerie générale et gros œuvre de bâtiment
SOCIETE LECLERE FILS ET BEINEIX;6 IMP MASSONNET;75018;PARIS;Bernard.Leclere@leclere.com;123456;724483945;Bernard;Leclere;01/01/1973;Travaux de maçonnerie générale et gros œuvre de bâtiment
CONCALVES DA SILVA DA COSTA S;5 RUE DES EAUX;78500;SARTROUVILLE;Concalves.DaSilva@concalves.com;123456;690302032;Concalves;Da Silva;30/03/1981;Travaux de maçonnerie générale et gros œuvre de bâtiment
BATI 20;52 RUE DE LA BIDASSOA;75020;PARIS;Pierre.Martin@bati20.com;123456;740302010;Pierre;Martin;27/04/1988;Travaux de maçonnerie générale et gros œuvre de bâtiment
M. MARCELLO SPADA;20 RUE DE L EPARGNE;93330;NEUILLY-SUR-MARNE;Marcello.Spada@spada.com;123456;724483945;Marcello;Spada;01/02/1997;Travaux de maçonnerie générale et gros œuvre de bâtiment
SOC EXPLOITATION ETS VALLADON;134 RUE MAURICE ARNOUX;92120;MONTROUGE;Patricia.Valladon@valladon.com;123456;722481418;Patricia;Valladon;25/12/1993;Travaux de maçonnerie générale et gros œuvre de bâtiment
M. JEAN GARLATTI;21 B RUE DU SIMPLON;75018;PARIS;Jean.Garlatti@garlatti.com;123456;724311789;Jean;Garlatti;22/04/1991;Travaux de maçonnerie générale et gros œuvre de bâtiment
ENTREPRISE ZENOU;16 RUE M ELEONORE DE BELLEFOND;75009;PARIS;Abraham.Zenou@zenou.com;123456;724483945;Abraham;Zenou;03/07/2000;Travaux de maçonnerie générale et gros œuvre de bâtiment
M. ALBINO PAINCO;15 RUE DE L'UNIVERSITE;75007;PARIS;Albino.Painco@painco.com;123456;623245261;Albino;Painco;01/07/1985;Travaux de maçonnerie générale et gros œuvre de bâtiment
A.B.R.I;60 RUE DU FBG SAINT DENIS;75010;PARIS;Joseph.Attias@abri.com;123456;622983456;Joseph;Attias;01/10/1985;Travaux de maçonnerie générale et gros œuvre de bâtiment
Mme NICOLE LENOIR;5 RUE DE DOUAI;75009;PARIS;Nicole.Lenoir@lenoir.com;123456;726324499;Nicole;Lenoir;22/12/1985;Travaux de maçonnerie générale et gros œuvre de bâtiment
M. DRAGAN MILOSEVIC;95 BD DE MAGENTA;75010;PARIS;Dragan.Milosevic@dragan.com;123456;754485945;Dragan;Milosevic;15/02/1986;Travaux de maçonnerie générale et gros œuvre de bâtiment
M. ABDELKADER DJENAOUI;253 RUE DE CRIMEE;75019;PARIS;Abdelkader.Djenaoui@djenaoui.com;123456;798482245;Abdelkader;Djenaoui;01/01/1986;Travaux de maçonnerie générale et gros œuvre de bâtiment
ARTISANS CONSTRUC RENOVATEURS;9 RUE DES GARDES;91370;VERRIERES-LE-BUISSON;Leroux.Michel@renovateurs.com;123456;748945273;Leroux; Michel;01/01/1986;Travaux de maçonnerie générale et gros œuvre de bâtiment
M. ZIVORAD MILIC;16 RUE DE L ECHIQUIER;75010;PARIS;Zivorad.Milic@zivorad.com;123456;611984231;Zivorad;Milic;01/04/1986;Travaux de maçonnerie générale et gros œuvre de bâtiment
